Game,Console,Digital?
Mega Man X Legacy Collection 1+2,Switch,FALSE
Metroid Dread,Switch,FALSE
Metroid Prime Remastered,Switch,FALSE
NEO: The World Ends with You,Switch,FALSE
New Super Mario Bros U Deluxe,Switch,FALSE
Ni No Kuni: Wrath of the White Witch,Switch,TRUE
Night in the Woods,Switch,FALSE
Ninja Gaiden: Ragebound,Switch,FALSE
Okami HD,Switch,TRUE
Once Upon a Katamari,Switch,FALSE
Ori and the Blind Forest: Definitive Edition,Switch,TRUE
Pac-Man World Re-Pac,Switch,FALSE
Paper Mario: The Origami King,Switch,FALSE
Paper Mario: The Thousand Year Door,Switch,FALSE
Pepper Grinder,Switch,FALSE
Persona 4 Golden,Switch,TRUE
Persona 5 Royal,Switch,FALSE
Pikmin 1 + 2,Switch,FALSE
Pizza Tower,Switch,FALSE
Pokemon Legends Arceus,Switch,FALSE
Pokemon Scarlet,Switch,FALSE
Pokemon Sword,Switch,FALSE
Princess Peach Showtime,Switch,FALSE
Sanabi,Switch,FALSE
Sayonara Wild Hearts,Switch,FALSE
Scott Pilgrim vs the World: The Game Complete Edition,Switch,TRUE
Sea of Stars,Switch,FALSE
Shantae,Switch,TRUE
Shantae: Half Genie Hero Ultimate Edition,Switch,FALSE
Silent Hope,Switch,FALSE
Smile for Me,Switch,FALSE
Sonic Forces,Switch,FALSE
Sonic Frontiers,Switch,FALSE
Sonic Mania Plus,Switch,FALSE
Sonic Superstars,Switch,FALSE
Sonic X Shadow Generations,Switch,FALSE
Spiritfarer,Switch,TRUE
Splatoon 2,Switch,FALSE
Splatoon 3,Switch,FALSE
Stardew Valley,Switch,TRUE
Stray,Switch,FALSE
Streets of Rage 4,Switch,FALSE
Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars,Switch,FALSE
Super Mario 3D All-Stars,Switch,FALSE
Super Mario 3D World + Bowser's Fury,Switch,FALSE
Super Mario Bros Wonder,Switch,FALSE
Super Mario Maker 2,Switch,FALSE
Super Mario Odyssey,Switch,FALSE
Super Mario Party,Switch,FALSE
Super Mario RPG,Switch,FALSE
Super Monkey Ball: Banana Rumble,Switch,FALSE
Super Smash Bros Ultimate,Switch,FALSE
Tevi,Switch,FALSE
The Great Ace Attorney Chronicles,Switch,FALSE
The Legend of Zelda: Breath of The Wild,Switch,FALSE
The Legend of Zelda: Echoes of Wisdom,Switch,FALSE
The Legend of Zelda: Link's Awakening,Switch,FALSE
The Legend of Zelda: Skyward Sword HD,Switch,FALSE
The Legend of Zelda: Tears of The Kingdom,Switch,FALSE
Totally Reliable Delivery Service,Switch,TRUE
Touhou Luna Nights,Switch,FALSE
Triangle Strategy,Switch,FALSE
Tunic,Switch,FALSE
UFO 50,Switch,FALSE
Undertale,Switch,FALSE
We Love Katamari Reroll + Royal Reverie,Switch,FALSE
West of Loathing,Switch,TRUE
Xenoblade Chronicles: Definitive Edition,Switch,FALSE
Yoshi's Crafted World,Switch,FALSE
Bubsy 4D: Pawsome Edition,Switch 2,FALSE
Cyberpunk 2077: Ultimate Edition,Switch 2,FALSE
Donkey Kong Bananza,Switch 2,FALSE
Hades II,Switch 2,FALSE
Kirby Air Riders,Switch 2,FALSE
Mario Kart World,Switch 2,TRUE
Pokemon Legends: Z-A,Switch 2,FALSE
Splatoon Raiders,Switch 2,FALSE
Endless Ocean,Wii,FALSE
Endless Ocean: Blue World,Wii,FALSE
Kirby's Epic Yarn,Wii,FALSE
Mario Kart Wii,Wii,FALSE
Metroid Prime 3 Corruption,Wii,FALSE
New Super Mario Bros Wii,Wii,FALSE
Sonic and the Secret Rings,Wii,FALSE
Sonic Colors,Wii,FALSE
Super Mario Galaxy 2,Wii,FALSE
Super Paper Mario,Wii,FALSE
Super Smash Bros Brawl,Wii,FALSE
The Conduit,Wii,FALSE
The Legend of Zelda: Twilight Princess,Wii,FALSE
We Love Golf!,Wii,FALSE
Wii Sports,Wii,FALSE
Bayonetta 2 + Bayonetta,Wii U,FALSE
Hyrule Warriors,Wii U,FALSE
Kirby and the Rainbow Curse,Wii U,FALSE
Lego City Undercover,Wii U,FALSE
Nintendo Land,Wii U,TRUE
Paper Mario: Color Splash,Wii U,FALSE
Pikmin 3,Wii U,FALSE
Rodea the Sky Soldier,Wii U,FALSE
Sonic Boom: Rise of Lyric,Wii U,FALSE
