Game,Notes,Console,Hours
Mega Man II,Switch Online (GB),Switch,1
Pop'n TwinBee,Switch Online (SNES),Switch,1
Star Fox,Switch Online (SNES),Switch,1
Star Fox 2,Switch Online (SNES),Switch,1
Wild Guns,Switch Online (SNES),Switch,1
Contra: Hard Corps,Switch Online (GEN),Switch,1.5
Mendel Palace,Switch Online (NES),Switch,1.5
Sayonara Wild Hearts,,Switch,1.5
Shadow of the Ninja,Switch Online (NES),Switch,1.5
Vice: Project Doom,Switch Online (NES),Switch,1.5
Boomerang X,,Switch,2
Castlevania Legends,Switch Online (GB),Switch,2
Dr. Mario 64,Switch Online (N64),Switch,2
F-Zero,Switch Online (SNES),Switch,2
F-Zero Climax,Switch Online (GBA),Switch,2
Gunstar Heroes,Switch Online (GEN),Switch,2
Mega Man 10,Legacy Collection,Switch,2
Mega Man III,Switch Online (GB),Switch,2
Mega Man: Dr. Wily's Revenge,Switch Online (GB),Switch,2
Pulseman,Switch Online (GEN),Switch,2
River City Ransom,Switch Online (NES),Switch,2
Sin and Punishment,Switch Online (N64),Switch,2
Super Mario Kart,Switch Online (SNES),Switch,2
The Revenge of Shinobi,Switch Online (GEN),Switch,2
ToeJam & Earl in Panic on Funkotron,Switch Online (GEN),Switch,2
Yoshi's Story,Switch Online (N64),Switch,2
Castlevania Bloodlines,Switch Online (GEN),Switch,2.5
Donkey Kong Land,Switch Online (GB),Switch,2.5
Donkey Kong Land III,Switch Online (GB),Switch,2.5
F-Zero: Maximum Velocity,Switch Online (GBA),Switch,2.5
Kid Icarus: Of Myths and Monsters,Switch Online (GB),Switch,2.5
"Little Kitty, Big City",,Switch,2.5
Mega Man 6,Legacy Collection,Switch,2.5
Mega Man IV,Switch Online (GB),Switch,2.5
Mega Man V,Switch Online (GB),Switch,2.5
Ninja Gaiden II: The Dark Sword of Chaos,Switch Online (NES),Switch,2.5
Pokemon Puzzle League,Switch Online (N64),Switch,2.5
Ridge Racer 64,Switch Online (N64),Switch,2.5
AER: Memories of Old,,Switch,3
Alien Soldier,Switch Online (GEN),Switch,3
Castlevania: Dracula X,Advance Collection,Switch,3
Earthworm Jim 2,Switch Online (SNES),Switch,3
Kirby Tilt 'n' Tumble,Switch Online (GB),Switch,3
Kirby's Dream Course,Switch Online (SNES),Switch,3
Mario Kart: Super Circuit,Switch Online (GBA),Switch,3
Mega Man 2,Legacy Collection,Switch,3
Mega Man 4,Legacy Collection,Switch,3
Mega Man 5,Legacy Collection,Switch,3
Ninja Gaiden,Switch Online (NES),Switch,3
Streets of Rage 4,,Switch,3
Super Mario Bros 2,Switch Online (NES),Switch,3
Super Mario Bros: The Lost Levels,Switch Online (NES),Switch,3
Super Punch-Out!!,Switch Online (SNES),Switch,3
ToeJam & Earl,Switch Online (GEN),Switch,3
Wave Race 64,Switch Online (N64),Switch,3
Adventures of Lolo,Switch Online (NES),Switch,3.5
Donkey Kong Land 2,Switch Online (GB),Switch,3.5
Earthworm Jim,Switch Online (GEN),Switch,3.5
Mega Man 3,Legacy Collection,Switch,3.5
Mega Man 9,Legacy Collection,Switch,3.5
Mega Man X,Legacy Collection,Switch,3.5
SoulCalibur II,Switch Online (GCN),Switch,3.5
Blaster Master,Switch Online (NES),Switch,4
Clock Tower Rewind,,Switch,4
Kid Icarus,Switch Online (NES),Switch,4
Mega Man X4,Legacy Collection,Switch,4
Mega Man X5,Legacy Collection,Switch,4
Mega Man X7,Legacy Collection,Switch,4
Pilotwings,Switch Online (SNES),Switch,4
Pokemon Snap,Switch Online (N64),Switch,4
Donkey Kong Country 3: Dixie Kong's Double Trouble,Switch Online (SNES),Switch,4.5
F-Zero X,Switch Online (N64),Switch,4.5
Mario Kart 64,Switch Online (N64),Switch,4.5
Mega Man 7,Legacy Collection,Switch,4.5
Mega Man 8,Legacy Collection,Switch,4.5
Mega Man X2,Legacy Collection,Switch,4.5
Mega Man X8,Legacy Collection,Switch,4.5
Another Code: Two Memories,Recollection Remake,Switch,5
Cocoon,,Switch,5
F-Zero: GP Legend,Switch Online (GBA),Switch,5
Mario vs. Donkey Kong,Switch Online (GBA),Switch,5
Mega Man 11,,Switch,5
Mega Man X3,Legacy Collection,Switch,5
Mega Man X6,Legacy Collection,Switch,5
Metroid Fusion,Switch Online (GBA),Switch,5
Scott Pilgrim vs the World: The Game,Complete Edition,Switch,5
Stray,,Switch,5
Super Mario Bros 3,Switch Online (NES),Switch,5
Touhou Luna Nights,,Switch,5
Crash Bandicoot: Warped,N.Sane Trilogy,Switch,5.5
Light Crusader,Switch Online (GEN),Switch,5.5
Super Mario Strikers,Switch Online (GCN),Switch,5.5
Pizza Tower,,Switch,6
Startropics,Switch Online (NES),Switch,6
Klonoa 2: Lunatea's Veil,Phantasy Reverie Series,Switch,6.5
Alone in the Dark: The New Nightmare,Switch Online (GB),Switch,7
Animal Well,,Switch,7
Castlevania: Aria of Sorrow,Advance Collection,Switch,7
Mario Tennis,Switch Online (N64),Switch,7
Balatro,,Switch,7.5
Blossom Tales: The Sleeping King,,Switch,7.5
Castlevania: Harmony of Dissonance,Advance Collection,Switch,7.5
Once Upon a Katamari,,Switch,7.5
Super Mario Maker 2,,Switch,7.5
Super Metroid,Switch Online (SNES),Switch,7.5
Crusader of Centy,Switch Online (GEN),Switch,8
Perfect Dark,Switch Online (N64),Switch,8
Super Mario World 2: Yoshi's Island,Switch Online (SNES),Switch,8
The Legend of Zelda,Switch Online (NES),Switch,8
Castlevania: Circle of The Moon,Advance Collection,Switch,8.5
Shantae,,Switch,8.5
Crystalis,Switch Online (NES),Switch,9
F-Zero GX,Switch Online (GCN),Switch,9
Mario Golf,Switch Online (N64),Switch,9
Metroid Dread,,Switch,9
Night in the Woods,,Switch,9
Ori and the Blind Forest,Definitive Edition,Switch,9
Sanabi,,Switch,9
Dredge,,Switch,9.5
A Space for the Unbound,,Switch,10
Bomb Rush Cyberfunk,,Switch,10
Mario Tennis,Switch Online (GB),Switch,10
Wario Land 3,Switch Online (GB),Switch,10
Zelda II: The Adventure of Link,Switch Online (NES),Switch,10
